DT,SN,BY,WC,HD,LP,AN,anio
2021-02-03,El Universal,Agencia El Universal,467 words,Detienen en Aguascalientes a presunto homicida de joven en Morelos,"CUERNAVACA, Mor., febrero 3 (EL UNIVERSAL).- La Agencia de Investigación Criminal (AIC) ejecutó una orden de aprehensión contra un hombre identificado como Juan Bernardino ""N"", en calidad de presunto responsable del homicidio de un integrante de la comunidad Lésbico, gay, bisexual, transexual, transgénero, travesti e intersexual (LGBTTTI), perpetrado en agosto de 2020. La detención se realizó en el Estado de Aguascalientes donde residía uno de los dos supuestos homicidas de Javier Eduardo ""N"" de 34 años de edad, cuyo cuerpo fue arrojado en un terreno baldío de la colonia Acapantzingo, en Cuernavaca. Una de las líneas de investigación que siguen los agentes de investigación es el ""crimen de odio"".La Fiscalía General del estado de Morelos informó que en agosto pasado encontraron el cuerpo sin vida de Javier Eduardo con pies y manos atados, huellas de violencia y quemaduras en distintas partes del cuerpo; estaba parcialmente envuelto con una tela de color blanco y a un costado del cuerpo se encontró un mensaje escrito en un pedazo de cartón.La víctima era originaria de la Ciudad de México y contaba además con domicilio en el Estado de Morelos en donde radican familiares, por lo que visitaba con frecuencia la entidad. Era arquitecto de profesión y a consecuencia de la pandemia se desempeñaba como chofer de servicio de transporte por aplicación, tanto en la Ciudad de México como en Morelos. La Fiscalía Regional Metropolitana integró la carpeta de investigación correspondiente, realizó las periciales e investigaciones de gabinete y campo, y estableció que la víctima se encontraba la madrugada del mismo 19 de agosto en compañía de dos personas del sexo masculino al interior de un departamento localizado en el Club de Golf Cuernavaca.El reporte policial indicó que en ese lugar fue atacado y para inmovilizarlo lo ataron de pies y manos y posteriormente le causaron la muerte por asfixia mecánica, envolviendo el cuerpo en una sábana para abandonarlo en la colonia Acapantzingo, donde además le prendieron fuego ocasionándole quemaduras de tercer grado en distintas partes de la superficie corporal, dejando un cartón con mensaje y una bandera referente a la comunidad LGBTTTI para posteriormente huir del lugar.En conferencia de prensa virtual, el fiscal Uriel Carmona Gándara informó que las investigaciones arrojaron que uno de los participantes es Juan Bernardino ""N"", y después lo ubicaron en Aguascalientes y lo trasladaron a la Fiscalía General del estado de Morelos. En audiencia inicial, la representación social aportó los datos de prueba en contra de Javier Eduardo, a quien imputó el delito de homicidio calificado, imponiendo el juez de la causa la prisión preventiva como medida cautelar en tanto se desarrolla la audiencia de vinculación a proceso.",Document UNVSAL0020210204eh230000o,2021
2021-07-14,Milenio,Josefina Ruiz,423 words,Familia de Dayana pide justicia tras asesinato de la joven a poco más de un mes,"El pasado 6 de junio, Dayana, mujer transgénero fue brutalmente asesinada en el municipio de Tonalá. m{1503960}“Pues lo que nosotros queremos es justicia y que no quede impune su caso, que este tipo no tenga ningún privilegio y lo más pronto posible que sea su captura para que él pueda pagar lo que hizo con Dayana”, comentó Sergio, papá de Dayana. De acuerdo con Carmen, madre de Dayana, lo único que se les ha informado es que ya tienen identificado al presunto responsable, sin embargo, este continúa en libertad.",Document MILENI0020210714eh7e0015q,2021
2021-05-23,Milenio,Jorge Maldonado Varela,413 words,Arrancan las actividades de ‘Charlas sin Etiquetas’ en La Laguna,"Una edición más del proyecto Charlas Sin Etiquetas se puso en marcha durante la tarde de este sábado 22 de mayo en Torreón, con actividades de manera virtual y presencial, en el marco del Mes Mundial contra la Homofobia y la Semana por la Diversidad Queer, que se extenderán del 22 hasta el 29 de mayo. m{1413668}El primer día de actividades arrancó en punto de las 17:00 horas bajo la conducción de Miss Fortune y Ale Jacuab, con palabras de agradecimiento del organizador y propulsor del proyecto que cuenta ya con tres años de llevar Charlas sin Etiquetas.",Document MILENI0020210523eh5n0015v,2021
2021-06-25,Milenio,Daniel Zainos,1762 words,"Calle Amberes en la Zona Rosa, la conquista de un territorio de la comunidad LGBT+","En menos de 500 metros se desarrolló la primera gay street (calle gay) en el país. De avenida Paseo de la Reforma a avenida Chapultepec, la calle Amberes concretó un proyecto de conquista y recuperación que ayudó a integrar a la comunidad LGBT+ a la sociedad capitalina y reposicionó a la Zona Rosa en el mapa turístico y cultural de la Ciudad de México. m{1468506}En 1906, la Mexico City Improvment Company inició su proceso de urbanización, en el que empresarios lograron intercalar sus negocios entre las mansiones lujosas que le dieron categoría al barrio. Así fue como comenzó el ambiente bohemio de la Zona Rosa, pues la mayoría de los nuevos negocios fueron cafés, restaurantes, bares y galerías de arte donde los personajes adinerados de la ciudad se reunían a pasar el rato.",Document MILENI0020210625eh6p000mg,2021
2021-09-13,Milenio,Álvaro Cueva,286 words,'Todxs Nosotrxs' y el lenguaje inclusivo,"m{1605363}Hágame un favor: métase inmediatamente en la plataforma HBO Max y busque una serie titulada Todxs nosotrxs (se pronuncia ?todes nosotres?). Lo maravilloso de Todxs nosotrxs es que muestra todos los lados de la moneda despedazando, incluso, a las personas trans que utilizan esto de manera equivocada. Todxs nosotrxs es una serie latinoamericana, orgullosamente brasileña, que narra la historia de una feminista, un ?gay? y una persona trans.",Document MILENI0020210913eh9d000mg,2021
2021-06-08,El Universal,Agencia El Universal,657 words,Torturan y prenden fuego a joven con VIH en Cancún,"CANCÚN, QR., junio 8 (EL UNIVERSAL).- Un joven perteneciente a la comunidad LGBTTTIQA+ fue torturado, le prendieron fuego y lo asesinaron luego de dar a conocer que vivía con el Virus de Inmunodeficiencia Adquirida (VIH) en Cancún, el pasado 5 de junio.Colectivos de la diversidad sexual en Quintana Roo exigieron la intervención de las autoridades para investigar y castigar este crimen.Nadia Fabela, coordinadora del Foro Cuir, indicó que luego de enterarse de este homicidio, han intentado localizar a los familiares, sin éxito. También han dirigido un escrito a diferentes autoridades para que se esclarezca el crimen y se dé con la o las personas responsables.Además, se alista una manifestación, esta misma semana, en protesta por este y otros casos, en Cancún y Playa del Carmen, adelantó la entrevistada.""Ante la creciente violencia contra las personas LGBTTTIQA+ en Quintana Roo, una vez más, organizaciones y colectivas LGBT+ alzamos la voz para exigir justicia"", demandaron organizaciones y colectivas agrupadas en la Red de Activistas de la diversidad sexual, como Resilientxs, Pride Cancún, Playa Pride, Colectivo Lambda, Foro Cuir, Redefine, Resistencias Sororas, ProD-Chetumal y Queertana Roo.Nadia dio a conocer que en los últimos dos meses hay al menos tres reportes de abuso policiaco en contra de personas de la comunidad diversa en Playa del Carmen y Tulum, a los cuales no se ha podido dar seguimiento, al cruzarse el proceso electoral, que mantuvo a autoridades y funcionarios con licencia, involucrados en las campañas.A los actos en contra de las personas diversas, se añade la discriminación por parte de la Secretaría Estatal de Salud (SESA), en agravio de dos jóvenes gay, quienes intentaron donar sangre. Las colectivas mencionan también el caso de una de sus compañeras, quien fue hostigada en noviembre de 2020 por ser lesbiana.Fabela señaló que los trabajos para crear el tipo penal de ""crimen de odio"", derivado de la orientación sexual e identidad sexogenérica se paralizaron también, debido a que se cruzaron las campañas políticas.Las organizaciones y colectivas consideraron que lo ocurrido con el joven torturado, quemado y asesinado, es uno de los casos de violencia extrema en contra de la comunidad diversa.Al respecto, el presidente estatal de la Comisión de Derechos Humanos de Quintana Roo (CDHEQROO), Marco Antonio Tóh Euán, condenó el crimen de odio e informó que la Segunda Visitaduría, con sede en Cancún, dará seguimiento al caso, a fin de revisar la correcta integración de la carpeta de investigación por parte de la Fiscalía General del Estado (FGE).La delegada de la Secretaría de Gobernación (Segob) en Quintana Roo, Susana Hurtado Vallejo, aseguró que el gobierno federal se mantendrá vigilante del desarrollo de las investigaciones e intervendrá para promover y proteger los derechos de la población LGBT+.Tóh Euán y Hurtado Vallejo participaron en un evento virtual con motivo de la firma de un convenio de colaboración con la asociación Playa Pride, presidida por Jan Novak, para impulsar proyectos y programas de capacitación, formación, promoción y difusión de derechos humanos, legalidad, perspectiva de género y otros temas, en beneficio de la asociación y de la sociedad en general.En su oportunidad, Jan Novak expresó que se tiene que trabajar a favor de los derechos humanos, pues la situación en los últimos meses ha sido preocupante, especialmente para la comunidad LGBT, que merece vivir libre de discriminación y homofobia.De acuerdo con el ""Informe Crímenes de Odio y Homofobia 2013-2018"", elaborado por la organización ""Letra S"", Quintana Roo es el tercero de siete estados que concentran casi la mitad de los asesinatos en agravio de la comunidad Lésbico, Gay, Bisexual, Transexual, Transgénero, Travesti, Intersexual, Queer, Asexual y más (LGBTTTIQA+)El listado es encabezado por Veracruz y le siguen Guerrero, Quintana Roo, Estado de México, Chihuahua, Puebla y Tamaulipas.",Document UNVSAL0020210609eh680000d,2021
2021-05-14,Milenio,María Ramírez,810 words,Terapias de conversión: El 8.4% de asistentes tienden más al suicidio,"El 8.4 por ciento de las personas que asisten a los Esfuerzos para Corregir la Orientación Sexual y la Identidad de Género (Ecosig) son más tendientes al suicidio; 5.9 por ciento, a la depresión; 3.4 por ciento, al uso de drogas ilegales y 3.4 por ciento a relaciones sexuales de alto riesgo, y podrían contraer enfermedades de transmisión sexual como el VIH. En el marco del Día Mundial de la Homofobia, que se celebra el día 17 de mayo, el especialista dijo que debido a la depresión y la ansiedad generadas por estos Ecosig, las personas pueden desarrollar indefensión aprendida, ya que hagan lo que hagan siempre van a estar en el mismo círculo donde se considera que ellos están mal.",Document MILENI0020210514eh5e0015q,2021
2021-11-20,Reforma,Fernando Merino y Amallely Morales,538 words,Quedan impunes asesinatos a trans,"La Ciudad de México ocupa el quinto lugar a nivel nacional en el número de asesinatos de personas trans con 38 crímenes registrados desde el 2007 hasta octubre de 2021, de acuerdo con cifras del Centro de Apoyo a las Identidades Trans (CATI). Veracruz encabeza la lista de asesinatos a personas trans, con 65; seguido de Guerrero, con 57; Chihuahua, con 54, y Estado de México, con 46.",Document RFMA000020211120ehbk00014,2021
2021-07-21,La Jornada,Yolanda Chio,290 words,Parejas del mismo sexo se afilian al Isssteleón,"Yolanda ChioCorresponsal Periódico La JornadaMiércoles 21 de julio de 2021, p. 25Monterrey, NL., Parejas del mismo sexo, concubinos y esposos comenzaron a afiliarse este martes como derechohabientes del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado de Nuevo León (Isssteleón), luego de las modificaciones a la ley de ese organismo aprobadas por el Congreso local a partir de una resolución de la Suprema Corte de Justicia de la Nación (SCJN). Agregó que para concretar las afiliaciones se requerirá a los burócratas y sus parejas únicamente el procedimiento ordinario de registro como cualquier matrimonio en el cual uno de los cónyuges tenga ese derecho por trabajar para el gobierno de Nuevo León.",Document JORNDA0020210721eh7l0001e,2021
2021-03-17,Milenio,Adolfo Tenahua Ramos,359 words,En Tlaxcala se postula una mujer transgénero para alcaldesa,"Por primera vez en la historia en el estado de Tlaxcala fue postulada una mujer transgénero para competir por la alcaldía del municipio de Zacatelco. Se trata de Valeria Lorety Díaz quien encabezará las siglas del Partido Verde Ecologista de México (PVEM). “Es algo nuevo, es algo histórico y sobre todo que Tlaxcala y Zacatelco sean el ejemplo nacional para una nueva esperanza…para hacer historia, estoy muy contenta y sé que daremos un buen paso; y abriremos muchas puertas y romperemos muchos estereotipos que siguen marcando en estas nuevas contiendas”, expresó.A pregunta expresa sobre la problemática que se enfrentan las personas que son transgénero, contestó, “Yo creo, que sobre todo, la problemática viene siendo siempre, lo que es el machismo, ¿no? Ya sabes… esas partes las traemos desde hace mucho tiempo pero quiero pensar que hemos crecido mucho como juventud, tenemos plataformas donde nos abren los ojos y creemos que el machismo va a quedar un poquito más atrás. Somos más los jóvenes y queremos un nuevo futuro, estamos en el siglo XXI y creemos que vamos a construir cosas nuevas para estas políticas que se vienen”.",Document MILENI0020210317eh3h0025x,2021
